x= ,1032, v= ,3, u= ,19929
x= ,1035, v= ,2, u= ,19862
x= ,1037, v= ,1, u= ,19801
x= ,1038, v= ,0, u= ,19747
x= ,1038, v= ,-1, u= ,19701
x= ,1037, v= ,-1, u= ,19664
x= ,1036, v= ,-2, u= ,19636
x= ,1034, v= ,-2, u= ,19610
x= ,1032, v= ,-2, u= ,19594
x= ,1030, v= ,-2, u= ,19580
x= ,1028, v= ,-2, u= ,19568
x= ,1026, v= ,-2, u= ,19558
x= ,1024, v= ,-2, u= ,19550
x= ,1022, v= ,-2, u= ,19544
x= ,1020, v= ,-2, u= ,19540
x= ,1018, v= ,-2, u= ,19538
x= ,1016, v= ,-2, u= ,19538
x= ,1014, v= ,-2, u= ,19540
x= ,1012, v= ,-2, u= ,19544
x= ,1010, v= ,-2, u= ,19550
x= ,1008, v= ,-2, u= ,19558
x= ,1006, v= ,-2, u= ,19568
x= ,1004, v= ,-2, u= ,19580
x= ,1002, v= ,-2, u= ,19594
x= ,1000, v= ,-2, u= ,19610
x= ,998, v= ,-2, u= ,19628
x= ,996, v= ,-2, u= ,19648
x= ,994, v= ,-2, u= ,19670
x= ,992, v= ,-2, u= ,19694
x= ,990, v= ,-2, u= ,19720
x= ,988, v= ,-2, u= ,19748
x= ,986, v= ,-2, u= ,19778
x= ,984, v= ,-2, u= ,19810
x= ,982, v= ,-2, u= ,19844
x= ,980, v= ,-2, u= ,19880
x= ,978, v= ,-2, u= ,19918
x= ,976, v= ,-2, u= ,19958
x= ,974, v= ,-2, u= ,20000
x= ,972, v= ,-2, u= ,20044
x= ,970, v= ,-2, u= ,20090
x= ,968, v= ,-2, u= ,20138
x= ,966, v= ,-1, u= ,20188
x= ,965, v= ,0, u= ,20239
x= ,965, v= ,0, u= ,20282
x= ,965, v= ,1, u= ,20317
x= ,966, v= ,1, u= ,20351
x= ,967, v= ,1, u= ,20376
x= ,968, v= ,1, u= ,20400
x= ,969, v= ,1, u= ,20423
x= ,970, v= ,1, u= ,20445
x= ,971, v= ,1, u= ,20466
x= ,972, v= ,1, u= ,20486
x= ,973, v= ,1, u= ,20505
x= ,974, v= ,1, u= ,20523
x= ,975, v= ,1, u= ,20540
x= ,976, v= ,1, u= ,20556
x= ,977, v= ,1, u= ,20571
x= ,978, v= ,1, u= ,20585
x= ,979, v= ,1, u= ,20598
x= ,980, v= ,1, u= ,20610
x= ,981, v= ,1, u= ,20621
x= ,982, v= ,1, u= ,20631
x= ,983, v= ,1, u= ,20640
x= ,984, v= ,1, u= ,20648
x= ,985, v= ,1, u= ,20655
x= ,986, v= ,1, u= ,20661
x= ,987, v= ,1, u= ,20666
x= ,988, v= ,1, u= ,20670
x= ,989, v= ,1, u= ,20673
x= ,990, v= ,1, u= ,20675
x= ,991, v= ,1, u= ,20676
x= ,992, v= ,1, u= ,20676
x= ,993, v= ,1, u= ,20675
x= ,994, v= ,1, u= ,20673
x= ,995, v= ,1, u= ,20670
x= ,996, v= ,1, u= ,20666
x= ,997, v= ,1, u= ,20661
x= ,998, v= ,1, u= ,20655
x= ,999, v= ,1, u= ,20648
x= ,1000, v= ,1, u= ,20640
x= ,1001, v= ,1, u= ,20631
x= ,1002, v= ,1, u= ,20621
x= ,1003, v= ,1, u= ,20610
x= ,1004, v= ,1, u= ,20598
x= ,1005, v= ,1, u= ,20585
x= ,1006, v= ,1, u= ,20571
x= ,1007, v= ,1, u= ,20556
x= ,1008, v= ,1, u= ,20540
x= ,1009, v= ,1, u= ,20523
x= ,1010, v= ,1, u= ,20505
x= ,1011, v= ,1, u= ,20486
x= ,1012, v= ,1, u= ,20466
x= ,1013, v= ,1, u= ,20445
x= ,1014, v= ,1, u= ,20423
x= ,1015, v= ,1, u= ,20400
x= ,1016, v= ,1, u= ,20376
x= ,1017, v= ,1, u= ,20351
x= ,1018, v= ,1, u= ,20325
x= ,1019, v= ,1, u= ,20298
x= ,1020, v= ,1, u= ,20270
x= ,1021, v= ,1, u= ,20241
x= ,1022, v= ,1, u= ,20211
x= ,1023, v= ,1, u= ,20180
x= ,1024, v= ,1, u= ,20148
x= ,1025, v= ,1, u= ,20115
x= ,1026, v= ,1, u= ,20081
x= ,1027, v= ,1, u= ,20046
x= ,1028, v= ,1, u= ,20010
x= ,1029, v= ,1, u= ,19973
x= ,1030, v= ,1, u= ,19935
x= ,1031, v= ,1, u= ,19896
x= ,1032, v= ,1, u= ,19856
x= ,1033, v= ,1, u= ,19815
x= ,1034, v= ,1, u= ,19773
x= ,1035, v= ,0, u= ,19730
x= ,1035, v= ,-1, u= ,19687
x= ,1034, v= ,-1, u= ,19653
x= ,1033, v= ,-1, u= ,19628
x= ,1032, v= ,-1, u= ,19604
x= ,1031, v= ,-1, u= ,19581
x= ,1030, v= ,-1, u= ,19559
x= ,1029, v= ,-1, u= ,19538
x= ,1028, v= ,-1, u= ,19518
x= ,1027, v= ,-1, u= ,19499
x= ,1026, v= ,-1, u= ,19481
x= ,1025, v= ,-1, u= ,19464
x= ,1024, v= ,-1, u= ,19448
x= ,1023, v= ,-1, u= ,19433
x= ,1022, v= ,-1, u= ,19419
x= ,1021, v= ,-1, u= ,19406
x= ,1020, v= ,-1, u= ,19394
x= ,1019, v= ,-1, u= ,19383
x= ,1018, v= ,-1, u= ,19373
x= ,1017, v= ,-1, u= ,19364
x= ,1016, v= ,-1, u= ,19356
x= ,1015, v= ,-1, u= ,19349
x= ,1014, v= ,-1, u= ,19343
x= ,1013, v= ,-1, u= ,19338
x= ,1012, v= ,-1, u= ,19334
x= ,1011, v= ,-1, u= ,19331
x= ,1010, v= ,-1, u= ,19329
x= ,1009, v= ,-1, u= ,19328
x= ,1008, v= ,-1, u= ,19328
x= ,1007, v= ,-1, u= ,19329
x= ,1006, v= ,-1, u= ,19331
x= ,1005, v= ,-1, u= ,19334
x= ,1004, v= ,-1, u= ,19338
x= ,1003, v= ,-1, u= ,19343
x= ,1002, v= ,-1, u= ,19349
x= ,1001, v= ,-1, u= ,19356
x= ,1000, v= ,-1, u= ,19364
x= ,999, v= ,-1, u= ,19373
x= ,998, v= ,-1, u= ,19383
